-2025_8_7-20_41_13
20_41_55 | INFO | UtopiaAirdropModule has started
20_47_0 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_47_0 | DEBUG | [AIRDROP] Player count: 0
20_47_0 | INFO | [AIRDROP] Players to start the airdrop.0
20_52_0 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_52_0 | DEBUG | [AIRDROP] Player count: 0
20_52_0 | INFO | [AIRDROP] Players to start the airdrop.0
20_57_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_57_1 | DEBUG | [AIRDROP] Player count: 0
20_57_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_2_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_2_1 | DEBUG | [AIRDROP] Player count: 0
21_2_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_7_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_7_1 | DEBUG | [AIRDROP] Player count: 0
21_7_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_12_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_12_1 | DEBUG | [AIRDROP] Player count: 0
21_12_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_17_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_17_1 | DEBUG | [AIRDROP] Player count: 0
21_17_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_22_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_22_1 | DEBUG | [AIRDROP] Player count: 0
21_22_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_27_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_27_1 | DEBUG | [AIRDROP] Player count: 0
21_27_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_32_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_32_1 | DEBUG | [AIRDROP] Player count: 0
21_32_1 | INFO | [AIRDROP] Players to start the airdrop.0
21_37_1 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_37_1 | DEBUG | [AIRDROP] Player count: 0
21_37_1 | INFO | [AIRDROP] Players to start the airdrop.0
