-2025_8_12-15_0_44
15_1_37 | INFO | UtopiaAirdropModule has started
15_6_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_6_42 | DEBUG | [AIRDROP] Player count: 0
15_6_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_11_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_11_42 | DEBUG | [AIRDROP] Player count: 0
15_11_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_16_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_16_42 | DEBUG | [AIRDROP] Player count: 0
15_16_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_21_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_21_42 | DEBUG | [AIRDROP] Player count: 0
15_21_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_26_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_26_42 | DEBUG | [AIRDROP] Player count: 0
15_26_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_31_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_31_42 | DEBUG | [AIRDROP] Player count: 0
15_31_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_36_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_36_42 | DEBUG | [AIRDROP] Player count: 0
15_36_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_41_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_41_42 | DEBUG | [AIRDROP] Player count: 0
15_41_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_46_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_46_42 | DEBUG | [AIRDROP] Player count: 0
15_46_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_51_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_51_42 | DEBUG | [AIRDROP] Player count: 0
15_51_42 | INFO | [AIRDROP] Players to start the airdrop.0
15_56_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_56_42 | DEBUG | [AIRDROP] Player count: 0
15_56_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_1_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_1_42 | DEBUG | [AIRDROP] Player count: 0
16_1_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_6_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_6_42 | DEBUG | [AIRDROP] Player count: 0
16_6_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_11_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_11_42 | DEBUG | [AIRDROP] Player count: 0
16_11_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_16_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_16_42 | DEBUG | [AIRDROP] Player count: 0
16_16_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_21_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_21_42 | DEBUG | [AIRDROP] Player count: 0
16_21_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_26_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_26_42 | DEBUG | [AIRDROP] Player count: 0
16_26_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_31_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_31_42 | DEBUG | [AIRDROP] Player count: 0
16_31_42 | INFO | [AIRDROP] Players to start the airdrop.0
16_36_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_36_42 | DEBUG | [AIRDROP] Player count: 0
16_36_42 | INFO | [AIRDROP] Players to start the airdrop.0
