Loot System Logs Active: 2025_8_28-18_41_27
18_41_27 | INFO | Deleted old log file: $profile:CBD_LootSystem\Logging\Logs\/2025_8_28-15_45_26.log
18_42_23 | INFO | Loot System has started
18_42_23 | INFO | Room settings loaded successfully.
18_42_23 | INFO | Box settings loaded successfully.
18_42_23 | INFO | LockAllLootRooms called
18_42_23 | INFO | Locking room: South Port Industrial Base
18_42_23 | INFO | Locking room: Airfield Base
18_42_23 | INFO | Loot Box Deleted at position: <6910.319824, 26.125845, 2198.879883>
18_42_23 | INFO | Loot Box Deleted at position: <6909.319824, 26.125845, 2213.879883>
18_42_23 | INFO | Loot Box Deleted at position: <6910.319824, 26.125845, 2198.879883>
18_42_23 | INFO | Loot Box Deleted at position: <6909.319824, 26.125845, 2213.879883>
18_42_23 | INFO | Loot Box Deleted at position: <6929.325684, 26.342670, 2206.844971>
18_43_3 | INFO | Player and identity are valid on connect.
18_43_18 | INFO | UnlockLootRoom: Loot room 'Airfield Base' unlocked by Player: LEE [SteamID: 76561198413928129]
18_43_18 | INFO | Raycast hit surface at: <6914.827637, 26.306284, 2224.797607>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6914.827637, 26.306284, 2224.797607>
18_43_18 | INFO | Surface type at position <6914.827637, 26.306284, 2224.797607> is concrete_ext
18_43_18 | INFO | Raycast hit surface at: <6946.436035, 26.129999, 2224.664551>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6946.436035, 26.129999, 2224.664551>
18_43_18 | INFO | Surface type at position <6946.436035, 26.129999, 2224.664551> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6947.167480, 26.129999, 2208.369873>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6947.167480, 26.129999, 2208.369873>
18_43_18 | INFO | Surface type at position <6947.167480, 26.129999, 2208.369873> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6911.151367, 26.129999, 2193.075195>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6911.151367, 26.129999, 2193.075195>
18_43_18 | INFO | Surface type at position <6911.151367, 26.129999, 2193.075195> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6921.360840, 26.264978, 2202.289551>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6921.360840, 26.264978, 2202.289551>
18_43_18 | INFO | Surface type at position <6921.360840, 26.264978, 2202.289551> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6934.439453, 26.264978, 2201.001953>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6934.439453, 26.264978, 2201.001953>
18_43_18 | INFO | Surface type at position <6934.439453, 26.264978, 2201.001953> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6926.367188, 26.264978, 2216.572998>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6926.367188, 26.264978, 2216.572998>
18_43_18 | INFO | Surface type at position <6926.367188, 26.264978, 2216.572998> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6922.567383, 26.264978, 2203.408691>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6922.567383, 26.264978, 2203.408691>
18_43_18 | INFO | Surface type at position <6922.567383, 26.264978, 2203.408691> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6924.262207, 26.129999, 2218.810303>
18_43_18 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6924.262207, 26.129999, 2218.810303>
18_43_18 | INFO | Surface type at position <6924.262207, 26.129999, 2218.810303> is cp_grass
18_43_18 | INFO | Raycast hit surface at: <6942.942871, 26.129999, 2223.540527>
18_43_18 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6942.942871, 26.129999, 2223.540527>
