Loot System Logs Active: 2025_8_28-17_29_58
17_29_58 | INFO | Deleted old log file: $profile:CBD_LootSystem\Logging\Logs\/2025_8_21-22_2_33.log
17_30_52 | INFO | Loot System has started
17_30_52 | INFO | Room settings loaded successfully.
17_30_52 | INFO | Box settings loaded successfully.
17_30_52 | INFO | LockAllLootRooms called
17_30_52 | INFO | Locking room: South Port Industrial Base
17_30_52 | INFO | Locking room: Airfield Base
17_30_52 | INFO | Loot Box Deleted at position: <6910.319824, 26.125845, 2198.879883>
17_30_52 | INFO | Loot Box Deleted at position: <6909.319824, 26.125845, 2213.879883>
17_30_52 | INFO | Loot Box Deleted at position: <6910.319824, 26.125845, 2198.879883>
17_30_52 | INFO | Loot Box Deleted at position: <6909.319824, 26.125845, 2213.879883>
17_30_52 | INFO | Loot Box Deleted at position: <6929.325684, 26.342670, 2206.844971>
17_31_31 | INFO | Player and identity are valid on connect.
17_31_46 | INFO | UnlockLootRoom: Loot room 'Airfield Base' unlocked by Player: LEE [SteamID: 76561198413928129]
17_31_46 | INFO | Raycast hit surface at: <6949.452637, 26.293373, 2206.488037>
17_31_46 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6949.452637, 26.293373, 2206.488037>
17_31_46 | INFO | Surface type at position <6949.452637, 26.293373, 2206.488037> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6936.531738, 26.129999, 2174.261963>
17_31_46 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6936.531738, 26.129999, 2174.261963>
17_31_46 | INFO | Surface type at position <6936.531738, 26.129999, 2174.261963> is cp_concrete1
17_31_46 | INFO | Raycast hit surface at: <6932.258301, 26.264978, 2211.432129>
17_31_46 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6932.258301, 26.264978, 2211.432129>
17_31_46 | INFO | Surface type at position <6932.258301, 26.264978, 2211.432129> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6922.473145, 26.264978, 2202.405518>
17_31_46 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6922.473145, 26.264978, 2202.405518>
17_31_46 | INFO | Surface type at position <6922.473145, 26.264978, 2202.405518> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6918.921875, 26.129999, 2182.404297>
17_31_46 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6918.921875, 26.129999, 2182.404297>
17_31_46 | INFO | Surface type at position <6918.921875, 26.129999, 2182.404297> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6938.574707, 26.129999, 2188.357178>
17_31_46 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6938.574707, 26.129999, 2188.357178>
17_31_46 | INFO | Surface type at position <6938.574707, 26.129999, 2188.357178> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6902.208008, 26.129999, 2191.798096>
17_31_46 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6902.208008, 26.129999, 2191.798096>
17_31_46 | INFO | Surface type at position <6902.208008, 26.129999, 2191.798096> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6912.736328, 26.129999, 2236.859619>
17_31_46 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6912.736328, 26.129999, 2236.859619>
17_31_46 | INFO | Surface type at position <6912.736328, 26.129999, 2236.859619> is cp_concrete1
17_31_46 | INFO | Raycast hit surface at: <6945.060547, 26.129999, 2196.492432>
17_31_46 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6945.060547, 26.129999, 2196.492432>
17_31_46 | INFO | Surface type at position <6945.060547, 26.129999, 2196.492432> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6914.976563, 26.264978, 2200.541504>
17_31_46 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6914.976563, 26.264978, 2200.541504>
17_31_46 | INFO | Surface type at position <6914.976563, 26.264978, 2200.541504> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6920.391113, 26.264978, 2196.041992>
17_31_46 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6920.391113, 26.264978, 2196.041992>
17_31_46 | INFO | Surface type at position <6920.391113, 26.264978, 2196.041992> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6912.480957, 26.264978, 2199.370605>
17_31_46 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6912.480957, 26.264978, 2199.370605>
17_31_46 | INFO | Surface type at position <6912.480957, 26.264978, 2199.370605> is cp_grass
17_31_46 | INFO | Raycast hit surface at: <6904.860352, 26.129999, 2219.296875>
17_31_46 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6904.860352, 26.129999, 2219.296875>
