Loot System Logs Active: 2025_8_28-17_52_56
17_52_56 | INFO | Deleted old log file: $profile:CBD_LootSystem\Logging\Logs\/2025_8_22-8_13_46.log
17_53_52 | INFO | Loot System has started
17_53_52 | INFO | Room settings loaded successfully.
17_53_52 | INFO | Box settings loaded successfully.
17_53_52 | INFO | LockAllLootRooms called
17_53_52 | INFO | Locking room: South Port Industrial Base
17_53_52 | INFO | Locking room: Airfield Base
17_53_52 | INFO | Loot Box Deleted at position: <6910.319824, 26.125845, 2198.879883>
17_53_52 | INFO | Loot Box Deleted at position: <6909.319824, 26.125845, 2213.879883>
17_53_52 | INFO | Loot Box Deleted at position: <6910.319824, 26.125845, 2198.879883>
17_53_52 | INFO | Loot Box Deleted at position: <6909.319824, 26.125845, 2213.879883>
17_53_52 | INFO | Loot Box Deleted at position: <6929.325684, 26.342670, 2206.844971>
17_54_32 | INFO | Player and identity are valid on connect.
17_54_44 | INFO | UnlockLootRoom: Loot room 'Airfield Base' unlocked by Player: LEE [SteamID: 76561198413928129]
17_54_44 | INFO | Raycast hit surface at: <6955.425781, 26.129999, 2188.972656>
17_54_44 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6955.425781, 26.129999, 2188.972656>
17_54_44 | INFO | Surface type at position <6955.425781, 26.129999, 2188.972656> is cp_concrete1
17_54_44 | INFO | Raycast hit surface at: <6903.359375, 26.306316, 2226.164307>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6903.359375, 26.306316, 2226.164307>
17_54_44 | INFO | Surface type at position <6903.359375, 26.306316, 2226.164307> is concrete_ext
17_54_44 | INFO | Raycast hit surface at: <6890.491699, 26.129999, 2222.555664>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6890.491699, 26.129999, 2222.555664>
17_54_44 | INFO | Surface type at position <6890.491699, 26.129999, 2222.555664> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6906.362793, 26.308807, 2223.964844>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6906.362793, 26.308807, 2223.964844>
17_54_44 | INFO | Surface type at position <6906.362793, 26.308807, 2223.964844> is concrete_ext
17_54_44 | INFO | Raycast hit surface at: <6934.428223, 26.129999, 2225.510742>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6934.428223, 26.129999, 2225.510742>
17_54_44 | INFO | Surface type at position <6934.428223, 26.129999, 2225.510742> is concrete_ext
17_54_44 | INFO | Raycast hit surface at: <6917.791016, 26.264978, 2202.780273>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6917.791016, 26.264978, 2202.780273>
17_54_44 | INFO | Surface type at position <6917.791016, 26.264978, 2202.780273> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6948.352539, 26.129999, 2177.941162>
17_54_44 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6948.352539, 26.129999, 2177.941162>
17_54_44 | INFO | Surface type at position <6948.352539, 26.129999, 2177.941162> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6912.394531, 26.264978, 2209.255615>
17_54_44 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6912.394531, 26.264978, 2209.255615>
17_54_44 | INFO | Surface type at position <6912.394531, 26.264978, 2209.255615> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6923.592285, 26.264978, 2202.124512>
17_54_44 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6923.592285, 26.264978, 2202.124512>
17_54_44 | INFO | Surface type at position <6923.592285, 26.264978, 2202.124512> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6917.724609, 26.264978, 2213.540771>
17_54_44 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6917.724609, 26.264978, 2213.540771>
17_54_44 | INFO | Surface type at position <6917.724609, 26.264978, 2213.540771> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6913.820801, 26.129999, 2216.905273>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6913.820801, 26.129999, 2216.905273>
17_54_44 | INFO | Surface type at position <6913.820801, 26.129999, 2216.905273> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6889.308594, 26.129999, 2183.147949>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6889.308594, 26.129999, 2183.147949>
17_54_44 | INFO | Surface type at position <6889.308594, 26.129999, 2183.147949> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6948.837891, 26.129999, 2194.350830>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6948.837891, 26.129999, 2194.350830>
17_54_44 | INFO | Surface type at position <6948.837891, 26.129999, 2194.350830> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6920.289551, 26.264978, 2205.140137>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6920.289551, 26.264978, 2205.140137>
17_54_44 | INFO | Surface type at position <6920.289551, 26.264978, 2205.140137> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6922.991699, 26.264978, 2203.600830>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6922.991699, 26.264978, 2203.600830>
17_54_44 | INFO | Surface type at position <6922.991699, 26.264978, 2203.600830> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6921.765625, 26.264978, 2203.498291>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6921.765625, 26.264978, 2203.498291>
17_54_44 | INFO | Surface type at position <6921.765625, 26.264978, 2203.498291> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6929.760742, 26.129999, 2178.583740>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6929.760742, 26.129999, 2178.583740>
17_54_44 | INFO | Surface type at position <6929.760742, 26.129999, 2178.583740> is cp_concrete1
17_54_44 | INFO | Raycast hit surface at: <6914.464355, 26.264978, 2200.826416>
17_54_44 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6914.464355, 26.264978, 2200.826416>
17_54_44 | INFO | Surface type at position <6914.464355, 26.264978, 2200.826416> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6884.842773, 26.129999, 2219.361084>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6884.842773, 26.129999, 2219.361084>
17_54_44 | INFO | Surface type at position <6884.842773, 26.129999, 2219.361084> is cp_grass
17_54_44 | INFO | Raycast hit surface at: <6942.959473, 26.129999, 2183.143066>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6942.959473, 26.129999, 2183.143066>
17_54_44 | INFO | Surface type at position <6942.959473, 26.129999, 2183.143066> is cp_concrete1
17_54_44 | INFO | Raycast hit surface at: <6937.514160, 26.129999, 2209.347656>
17_54_44 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6937.514160, 26.129999, 2209.347656>
17_54_44 | INFO | Surface type at position <6937.514160, 26.129999, 2209.347656> is cp_grass
