Loot System Logs Active: 2025_8_21-22_18_18
22_19_13 | INFO | Loot System has started
22_19_13 | INFO | Room settings loaded successfully.
22_19_13 | INFO | Box settings loaded successfully.
22_19_13 | INFO | LockAllLootRooms called
22_19_13 | INFO | Locking room: South Port Industrial Base
22_19_13 | INFO | Loot Box Deleted at position: <1975.665649, 15.565845, 554.450439>
22_19_13 | INFO | Loot Box Deleted at position: <1977.665649, 15.565845, 554.450439>
22_19_13 | INFO | Loot Box Deleted at position: <1975.665649, 15.565845, 554.450439>
22_19_13 | INFO | Loot Box Deleted at position: <1977.665649, 15.565845, 554.450439>
22_19_13 | INFO | Loot Box Deleted at position: <1993.319458, 15.658902, 565.533386>
22_19_33 | INFO | Player and identity are valid on connect.
22_20_28 | INFO | UnlockLootRoom: Loot room 'South Port Industrial Base' unlocked by Player: P E N G U I N [SteamID: 76561198413928129]
22_20_28 | INFO | Raycast hit surface at: <1984.608887, 25.048056, 554.705566>
22_20_28 | INFO | Defender ZmbM_FarmerFat_Green spawned at: <1984.608887, 25.048056, 554.705566>
22_20_28 | INFO | Surface type at position <1984.608887, 25.048056, 554.705566> is concrete_ext
22_20_28 | INFO | Raycast hit surface at: <1984.471558, 25.048056, 553.299988>
22_20_28 | INFO | Defender ZmbM_FarmerFat_Brown spawned at: <1984.471558, 25.048056, 553.299988>
22_20_28 | INFO | Surface type at position <1984.471558, 25.048056, 553.299988> is concrete_ext
22_20_28 | INFO | Raycast hit surface at: <1984.797363, 25.048056, 553.377686>
22_20_28 | INFO | Defender ZmbF_JoggerSkinny_Red spawned at: <1984.797363, 25.048056, 553.377686>
22_20_28 | INFO | Surface type at position <1984.797363, 25.048056, 553.377686> is concrete_ext
22_20_28 | INFO | Spawning loot box at position: <1984.665649, 15.570000, 570.450439>
22_20_28 | INFO | Random loot table selected from user setting file: Tools
22_20_28 | INFO | Successfully spawned loot box at position: <1984.665649, 15.570000, 570.450439>
22_20_28 | INFO | Spawning loot box at position: <1984.750000, 15.570000, 564.257019>
22_20_28 | INFO | Random loot table selected from user setting file: Tools
22_20_28 | INFO | Successfully spawned loot box at position: <1984.750000, 15.570000, 564.257019>
22_20_28 | INFO | Spawning loot box at position: <1993.319946, 15.570000, 565.531006>
22_20_28 | ERROR | Not Enough Loot In The List Compared To The Min Loot Amount for box at <1993.319946, 15.570000, 565.531006>
22_20_28 | INFO | UnlockLootRoom: No sound is set to play for loot room 'South Port Industrial Base'.
22_21_28 | INFO | Locked Loot Room South Port Industrial Base has been locked.
22_48_20 | INFO | Player and identity are valid on connect.
22_50_28 | INFO | UnlockLootRoom: Loot room 'South Port Industrial Base' unlocked by Player: P E N G U I N [SteamID: 76561198413928129]
22_50_28 | INFO | Raycast hit surface at: <1985.732300, 25.048056, 552.512512>
22_50_28 | INFO | Defender ZmbM_FarmerFat_Brown spawned at: <1985.732300, 25.048056, 552.512512>
22_50_28 | INFO | Surface type at position <1985.732300, 25.048056, 552.512512> is concrete_ext
22_50_28 | INFO | Raycast hit surface at: <1985.806641, 25.048056, 554.230530>
22_50_28 | INFO | Defender ZmbM_FarmerFat_Green spawned at: <1985.806641, 25.048056, 554.230530>
22_50_28 | INFO | Surface type at position <1985.806641, 25.048056, 554.230530> is concrete_ext
22_50_28 | INFO | Raycast hit surface at: <1984.400391, 25.048056, 554.041687>
22_50_28 | INFO | Defender ZmbF_JoggerSkinny_Red spawned at: <1984.400391, 25.048056, 554.041687>
22_50_28 | INFO | Surface type at position <1984.400391, 25.048056, 554.041687> is concrete_ext
22_50_28 | INFO | Loot Box Deleted at position: <1984.665649, 15.565845, 570.450439>
22_50_28 | INFO | Spawning loot box at position: <1984.665649, 15.570000, 570.450439>
22_50_28 | INFO | Random loot table selected from user setting file: Tools
22_50_28 | INFO | Successfully spawned loot box at position: <1984.665649, 15.570000, 570.450439>
22_50_28 | INFO | Loot Box Deleted at position: <1984.750000, 15.565845, 564.257019>
22_50_28 | INFO | Spawning loot box at position: <1984.750000, 15.570000, 564.257019>
22_50_28 | INFO | Random loot table selected from user setting file: Tools
22_50_28 | INFO | Successfully spawned loot box at position: <1984.750000, 15.570000, 564.257019>
22_50_28 | INFO | Spawning loot box at position: <1993.319946, 15.570000, 565.531006>
22_50_28 | ERROR | Not Enough Loot In The List Compared To The Min Loot Amount for box at <1993.319946, 15.570000, 565.531006>
22_50_28 | INFO | UnlockLootRoom: No sound is set to play for loot room 'South Port Industrial Base'.
22_51_28 | INFO | Locked Loot Room South Port Industrial Base has been locked.
23_6_30 | INFO | Player and identity are valid on connect.
